firstName,releaseYear,title
Demelza,2015,Poldark
James,2017,Taboo
Brace,2017,Taboo
Stuart,2017,Taboo
Alvey,2014,Kingdom
Lisa,2014,Kingdom
Ryan,2014,Kingdom
Grindah,2014,People Just Do Nothing
Beats,2014,People Just Do Nothing
Chabuddy,2014,People Just Do Nothing
Neal,2016,Vice Principals
Lee,2016,Vice Principals
Dayshawn,2016,Vice Principals
Julien,2014,The Missing
Celia,2014,The Missing
Tony,2014,The Missing
Madeline,2017,Big Little Lies
Celeste,2017,Big Little Lies
Jane,2017,Big Little Lies
Vivienne,2015,No Offence
Dinah,2015,No Offence
Dirk,2016,Dirk Gently's Holistic Detective Agency
Todd,2016,Dirk Gently's Holistic Detective Agency
Amanda,2016,Dirk Gently's Holistic Detective Agency
Dylan,2014,Lovesick
Evie,2014,Lovesick
Luke,2014,Lovesick
Lucifer,2016,Lucifer
Michael,2016,Lucifer
Chloe,2016,Lucifer
Malotru,2015,The Bureau
Mariejeanne,2015,The Bureau
Andy,2014,Detectorists
Lance,2014,Detectorists
Dale,2017,Twin Peaks
Dougie,2017,Twin Peaks
Laura,2017,Twin Peaks
Elliot,2015,Mr. Robot
Robot,2015,Mr. Robot
Darlene,2015,Mr. Robot
Uhtred,2015,The Last Kingdom
Aelswith,2015,The Last Kingdom
Sihtric,2015,The Last Kingdom
Ashley,2015,Ash vs Evil Dead
Pablo,2015,Ash vs Evil Dead
Kelly,2015,Ash vs Evil Dead
Sunil,2015,Unforgotten
Murray,2015,Unforgotten
Choi,2014,Pinocchio
Ki,2014,Pinocchio
Woojin,2014,Pinocchio
John,2018,Yellowstone
Kayce,2018,Yellowstone
Beth,2018,Yellowstone
Relu,2014,Umbre
Gina,2014,Umbre
Chuck,2016,Billions
Bobby,2016,Billions
Wendy,2016,Billions
Andréa,2015,Call My Agent!
Mathias,2015,Call My Agent!
Gabriel,2015,Call My Agent!
Earnest,2016,Atlanta
Kirkwood,2016,Atlanta
Teddy,2016,Atlanta
Frank,2015,F Is for Family
Pat,2015,F Is for Family
Teenage,2015,F Is for Family
Sharon,2015,Catastrophe
Rob,2015,Catastrophe
Chris,2015,Catastrophe
Gereon,2017,Babylon Berlin
Charlotte,2017,Babylon Berlin
Alfred,2017,Babylon Berlin
Greg,2015,Life in Pieces
Heather,2015,Life in Pieces
Leanne,2015,Code Black
Angus,2015,Code Black
Saitama,2015,One Punch Man
Genos,2015,One Punch Man
Zulema,2015,Vis a vis
Saray,2015,Vis a vis
Sole,2015,Vis a vis
Doron,2015,Fauda
Gabi,2015,Fauda
Gali,2015,Fauda
Eleven,2016,Stranger Things
Jane,2016,Stranger Things
Mike,2016,Stranger Things
Ezekiel,2016,The Get Down
Shaolin,2016,The Get Down
Mylene,2016,The Get Down
Dev,2015,Master of None
Arnold,2015,Master of None
Denise,2015,Master of None
Howard,2017,Counterpart
Emily,2017,Counterpart
Peter,2017,Counterpart
Son,2015,Dragon Ball Super
Wayne,2016,Letterkenny
Shoresy,2016,Letterkenny
Daryl,2016,Letterkenny
Chava,2015,Club de Cuervos
Salvador,2015,Club de Cuervos
Billy,2016,Goliath
Patty,2016,Goliath
Brittany,2016,Goliath
John,2015,Patriot
Leslie,2015,Patriot
Edward,2015,Patriot
Patti,2015,Good Girls Revolt
Jane,2015,Good Girls Revolt
Cindy,2015,Good Girls Revolt
Elizabeth,2016,The Crown
Queen,2016,The Crown
Hiccup,2015,Dragons: Race to the Edge
Astrid,2015,Dragons: Race to the Edge
Snotlout,2015,Dragons: Race to the Edge
Letty,2016,Good Behavior
Javier,2016,Good Behavior
Christian,2016,Good Behavior
Laurel,2016,BrainDead
Luke,2016,BrainDead
Gareth,2016,BrainDead
Yoo,2016,Descendants of the Sun
Kang,2016,Descendants of the Sun
Master,2016,Descendants of the Sun
Eleanor,2016,The Good Place
Chidi,2016,The Good Place
Tahani,2016,The Good Place
Frankie,2017,The Deuce
Vincent,2017,The Deuce
Eileen,2017,The Deuce
Marius,2015,Sneaky Pete
Pete,2015,Sneaky Pete
Julia,2015,Sneaky Pete
Louisa,2016,The Durrells
Lawrence,2016,The Durrells
Gerald,2016,The Durrells
Issa,2016,Insecure
Molly,2016,Insecure
Lawrence,2016,Insecure
Adam,2015,Adam Ruins Everything
Dan,2015,Adam Ruins Everything
Drip,2015,Adam Ruins Everything
Jack,2018,Tom Clancy's Jack Ryan
James,2018,Tom Clancy's Jack Ryan
Mike,2018,Tom Clancy's Jack Ryan
Martin,2017,Ozark
Wendy,2017,Ozark
Charlotte,2017,Ozark
David,2017,Legion
Syd,2017,Legion
Lenny,2017,Legion
Victoria,2016,Victoria
Penge,2016,Victoria
Ciri,2019,The Witcher
Geralt,2019,The Witcher
Yennefer,2019,The Witcher
Holden,2017,Mindhunter
Bill,2017,Mindhunter
Wendy,2017,Mindhunter
Park,2016,Signal
Cha,2016,Signal
Lee,2016,Signal
Penelope,2017,One Day at a Time
Schneider,2017,One Day at a Time
Elena,2017,One Day at a Time
Barry,2018,Barry
Monroe,2018,Barry
Sally,2018,Barry
Anne,2017,Anne with an E
Marilla,2017,Anne with an E
Scrooge,2017,DuckTales
Dirty,2017,DuckTales
Hat,2017,DuckTales
Jack,2016,This Is Us
Rebecca,2016,This Is Us
Randall,2016,This Is Us
Andrew,2016,Animal Kingdom
Craig,2016,Animal Kingdom
Deran,2016,Animal Kingdom
Lance,2016,Voltron: Legendary Defender
Pidge,2016,Voltron: Legendary Defender
Hunk,2016,Voltron: Legendary Defender
Nina,2017,The Restaurant
Calle,2017,The Restaurant
Ethel,2017,The Restaurant
Fbi,2017,Manhunt
Earl,2017,Manhunt
Stacy,2017,Manhunt
Amy,2016,Flowers
Bertha,2016,Flowers
Deborah,2016,Flowers
Izuku,2016,My Hero Academia
Katsuki,2016,My Hero Academia
Grant,2016,Travelers
Marcy,2016,Travelers
Carly,2016,Travelers
Dora,2017,Genius
Mileva,2017,Genius
Michele,2017,Genius
Fleabag,2016,Fleabag
Claire,2016,Fleabag
Capt,2017,The Orville
Cmdr,2017,The Orville
Claire,2017,The Orville
Jim,2017,Brockmire
Charles,2017,Brockmire
Jules,2017,Brockmire
Ah,2019,Warrior
Jun,2019,Warrior
Jonas,2017,Dark
Charlotte,2017,Dark
Adult,2017,Dark
Miles,2017,Get Shorty
Rick,2017,Get Shorty
Louis,2017,Get Shorty
Ruth,2017,GLOW
Sam,2017,GLOW
Debbie,2017,GLOW
Miriam,2017,The Marvelous Mrs. Maisel
Susie,2017,The Marvelous Mrs. Maisel
Joel,2017,The Marvelous Mrs. Maisel
June,2017,The Handmaid's Tale
Serena,2017,The Handmaid's Tale
Aunt,2017,The Handmaid's Tale
Diane,2017,The Good Fight
Marissa,2017,The Good Fight
Jay,2017,The Good Fight
Garrett,2016,Last Chance U
Intro,2016,Last Chance U
Shigeo,2016,Mob Psycho 100
Arataka,2016,Mob Psycho 100
Ritsu,2016,Mob Psycho 100
Appa,2016,Kim's Convenience
Umma,2016,Kim's Convenience
Janet,2016,Kim's Convenience
Clark,2004,Justice League Unlimited
Bizarro,2004,Justice League Unlimited
Sartaj,2018,Sacred Games
Ganesh,2018,Sacred Games
Guy,2016,High Maintenance
Jules,2016,High Maintenance
Lee,2016,High Maintenance
Alyssa,2017,The End of the F***ing World
James,2017,The End of the F***ing World
Phil,2017,The End of the F***ing World
Elsa,2017,Atypical
Sam,2017,Atypical
Casey,2017,Atypical
Kvn,2018,Final Space
Evil,2018,Final Space
Hilda,2018,Hilda
Frida,2018,Hilda
David,2018,Hilda
Franklin,2017,Snowfall
Teddy,2017,Snowfall
Gustavo,2017,Snowfall
Danny,2018,Breathe
Kabir,2018,Breathe
Ria,2018,Breathe
Tokio,2017,Money Heist
El,2017,Money Heist
Raquel,2017,Money Heist
Shaun,2017,The Good Doctor
Aaron,2017,The Good Doctor
Marcus,2017,The Good Doctor
Guddu,2018,Mirzapur
Beena,2018,Mirzapur
Golu,2018,Mirzapur
Tara,2019,Made in Heaven
Karan,2019,Made in Heaven
Adil,2019,Made in Heaven
Trevor,2017,Castlevania
Alucard,2017,Castlevania
Sypha,2017,Castlevania
Dhruv,2016,Little Things
Jack,2021,Heels
Ace,2021,Heels
Staci,2021,Heels
Kerry,2017,This Country
Lee,2017,This Country
Reverend,2017,This Country
Crown,2019,Kingdom
Seobi,2019,Kingdom
Shin,2019,Kingdom
Mark,2021,Invincible
Invincible,2021,Invincible
Alternate,2021,Invincible
Verena,2018,The Mechanism
Marco,2018,The Mechanism
Roberto,2018,The Mechanism
Peter,2017,American Vandal
Sam,2017,American Vandal
Dylan,2017,American Vandal
Rian,2019,The Dark Crystal: Age of Resistance
Gruenak,2019,The Dark Crystal: Age of Resistance
Tavra,2019,The Dark Crystal: Age of Resistance
Villanelle,2018,Killing Eve
Eve,2018,Killing Eve
Carolyn,2018,Killing Eve
Choi,2018,Mr. Sunshine
Eugene,2018,Mr. Sunshine
Go,2018,Mr. Sunshine
Erin,2018,Derry Girls
Orla,2018,Derry Girls
Mary,2018,Derry Girls
Alex,2019,The Morning Show
Bradley,2019,The Morning Show
Cory,2019,The Morning Show
Anne,2019,Gentleman Jack
Ann,2019,Gentleman Jack
Marian,2019,Gentleman Jack
Daniel,2018,Cobra Kai
Johnny,2018,Cobra Kai
Amanda,2018,Cobra Kai
Sandy,2018,The Kominsky Method
Mindy,2018,The Kominsky Method
Jude,2018,The Kominsky Method
Elena,2018,My Brilliant Friend
Immacolata,2018,My Brilliant Friend
Jeff,2018,Kidding
Seb,2018,Kidding
Sebestian,2018,Kidding
Asta,2017,Black Clover
Basta,2017,Black Clover
Casta,2017,Black Clover
Ray,2018,Mr Inbetween
Brittany,2018,Mr Inbetween
Gary,2018,Mr Inbetween
David,2018,Bodyguard
Vicky,2018,Bodyguard
Mike,2018,Bodyguard
Blanca,2018,Pose
Elektra,2018,Pose
Angel,2018,Pose
John,2018,The Rookie
Angela,2018,The Rookie
Ramy,2019,Ramy
Farouk,2019,Ramy
Harley,2019,Harley Quinn
Kylie,2019,Harley Quinn
Poison,2019,Harley Quinn
Greg,2018,Succession
Logan,2018,Succession
Roman,2018,Succession
Marian,2020,Gangs of London
Elliot,2020,Gangs of London
Luckys,2018,Bluey
Adora,2018,She-Ra and the Princesses of Power
Shera,2018,She-Ra and the Princesses of Power
Wayne,2019,Wayne
Delilah,2019,Wayne
Orlando,2019,Wayne
Otis,2019,Sex Education
Jean,2019,Sex Education
Eric,2019,Sex Education
Edward,2019,For All Mankind
Ed,2019,For All Mankind
Gordo,2019,For All Mankind
Max,2018,New Amsterdam
Lauren,2018,New Amsterdam
Floyd,2018,New Amsterdam
Nandor,2019,What We Do in the Shadows
Laszlo,2019,What We Do in the Shadows
Nadja,2019,What We Do in the Shadows
Retsuko,2018,Aggretsuko
Haida,2018,Aggretsuko
Bakkun,2018,Aggretsuko
Chief,2019,Tacoma FD
Eddie,2019,Tacoma FD
Granville,2019,Tacoma FD
Anne,2019,Amphibia
Anna,2019,Amphibia
Sprig,2019,Amphibia
Luz,2020,The Owl House
Azura,2020,The Owl House
Disguised,2020,The Owl House
Jen,2019,Dead to Me
Judy,2019,Dead to Me
Charlie,2019,Dead to Me
Yoon,2018,Something in the Rain
Seo,2018,Something in the Rain
Producer,2018,Patriot Act with Hasan Minhaj
Ellsworth,2019,Godfather of Harlem
Mayme,2019,Godfather of Harlem
Stella,2019,Godfather of Harlem
Alma,2019,Undone
Becca,2019,Undone
Camila,2019,Undone
Mandalorian,2019,The Mandalorian
Nevarro,2019,The Mandalorian
Droid,2019,The Mandalorian
Tulip,2019,Infinity Train
Mirror,2019,Infinity Train
Steward,2019,Infinity Train
Maya,2019,PEN15
Anna,2019,PEN15
Kathy,2019,PEN15
Tony,2019,After Life
Matt,2019,After Life
Lenny,2019,After Life
Ash,2018,Banana Fish
Shorter,2018,Banana Fish
Blanca,2018,Banana Fish
Cha,2019,Vagabond
Go,2019,Vagabond
Jessica,2019,Vagabond
Dave,2020,Dave
Mike,2020,Dave
Gata,2020,Dave
Katherine,2019,Ghosts
Thomas,2019,Ghosts
Julian,2019,Ghosts
Ritika,2018,Yeh Meri Family
Rishi,2018,Yeh Meri Family
Sanjay,2018,Yeh Meri Family
Eli,2019,The Righteous Gemstones
Jesse,2019,The Righteous Gemstones
Kelvin,2019,The Righteous Gemstones
Callum,2018,The Dragon Prince
Rayla,2018,The Dragon Prince
Opeli,2018,The Dragon Prince
Harry,2021,Resident Alien
Asta,2021,Resident Alien
Sheriff,2021,Resident Alien
Walt,2018,Narcos: Mexico
Amado,2018,Narcos: Mexico
Lucky,2019,Upright
Meg,2019,Upright
Suzie,2019,Upright
Rue,2019,Euphoria
Jules,2019,Euphoria
Nate,2019,Euphoria
Emma,2019,The Promised Neverland
Ray,2019,The Promised Neverland
Don,2019,The Promised Neverland
Terry,2020,Solar Opposites
Babeyyy,2020,Solar Opposites
Criterion,2020,Solar Opposites
Rimuru,2018,That Time I Got Reincarnated as a Slime
Slime,2018,That Time I Got Reincarnated as a Slime
Karl,2019,Why Women Kill
Simone,2019,Why Women Kill
Gensai,2019,Kengan Ashura
Tokita,2019,Kengan Ashura
Ohma,2019,Kengan Ashura
Aditya,2019,Criminal Justice
Madhav,2019,Criminal Justice
Avni,2019,Criminal Justice
Bobby,2019,Wu-Tang: An American Saga
Rza,2019,Wu-Tang: An American Saga
Loki,2021,Loki
Mobius,2021,Loki
Don,2021,Loki
Vinnie,2019,Brassic
Cardi,2019,Brassic
Ash,2019,Brassic
Tohru,2019,Fruits Basket
Yuki,2019,Fruits Basket
Tanjiro,2019,Demon Slayer: Kimetsu no Yaiba
Nezuko,2019,Demon Slayer: Kimetsu no Yaiba
Dcp,2019,Delhi Crime
Bhupendra,2019,Delhi Crime
Vaibhav,2019,Kota Factory
Jeetu,2019,Kota Factory
Balmukund,2019,Kota Factory
Miyuki,2019,Kaguya-sama: Love is War
Kaguya,2019,Kaguya-sama: Love is War
Srikant,2019,The Family Man
Raji,2019,The Family Man
Suchitra,2019,The Family Man
Bound,2019,"Love, Death & Robots"
Creature,2019,"Love, Death & Robots"
Dracula,2019,"Love, Death & Robots"
Adam,2019,Exit
Hermine,2019,Exit
Henrik,2019,Exit
Senku,2019,Dr. Stone
Kohaku,2019,Dr. Stone
Chrome,2019,Dr. Stone
Radhe,2020,Bandish Bandits
Tamanna,2020,Bandish Bandits
Mohini,2020,Bandish Bandits
