firstName,title,p_greater,significant_increase,p_less,significant_decrease,median_pre,median_post
Randy,South Park,0.9897996272793145,False,0.024872995360751497,True,25.0,12.5
Rebecca,Ted Lasso,1.0,False,0.02857142857142857,True,34.0,17.5
Robert,Inspector Lewis,1.0,False,0.02857142857142857,True,63.0,45.0
Robert,The Boondocks,0.9897996272793145,False,0.024872995360751497,True,66.0,50.5
Samantha,Foyle's War,1.0,False,0.02857142857142857,True,155.0,123.0
Sarah,A Place to Call Home,1.0,False,0.02857142857142857,True,114.0,97.0
Sarah,Orphan Black,1.0,False,0.02857142857142857,True,114.0,97.0
Sarah,Parenthood,1.0,False,0.02857142857142857,True,188.0,113.5
Sarah,The Killing,1.0,False,0.02857142857142857,True,157.0,102.5
Shaun,Shaun the Sheep,0.9782016775572293,False,0.04936432394741246,True,10.0,8.5
Stephen,Babylon 5,1.0,False,0.02857142857142857,True,107.0,62.0
Thomas,Batman: The Animated Series,1.0,False,0.02857142857142857,True,152.0,126.0
Thomas,Ghosts,1.0,False,0.02857142857142857,True,115.0,96.0
Tony,The Sopranos,0.9792068293839069,False,0.04774161604877365,True,10.0,7.0
Vanessa,Penny Dreadful,1.0,False,0.02857142857142857,True,29.0,17.5
Victor,"Love, Victor",1.0,False,0.02857142857142857,True,19.0,11.0
